id,importanceSampling
432192,43.007
432568,24.748
432662,32.439
432686,39.442
432864,36.793
432870,32.822
433227,25.916
433409,16.317
435772,70.750
435786,40.075
435794,35.451
435805,35.456
435933,30.934
435985,37.758
437388,36.329
438577,44.970
441582,24.441
441736,27.415
441925,30.970
442978,30.335
443108,65.757
443176,28.322
444316,22.225
444332,41.921
444349,39.913
444391,33.521
444446,33.429
444633,35.056
445534,33.944
445535,32.154
445602,48.746
446645,35.633
449507,45.922
449527,29.770
449614,25.305
450241,46.442
450253,35.539
451146,21.232
451152,60.076
451231,27.884
451346,26.486
451479,36.620
451709,35.902
453058,26.972
453724,46.849
459589,39.178
459597,45.492
461379,27.959
461764,34.244
461771,30.596
469115,40.666
471467,53.637
471588,32.224
471890,37.872
473097,45.971
473107,39.599
